Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Powertrain Type
Porsche,911,2022,3.0,379.0,331.0,4.0,101200.0,ICE
Lamborghini,Huracan,2021,5.2,630.0,443.0,2.8,274390.0,ICE
Ferrari,488 GTB,2022,3.9,661.0,561.0,3.0,333750.0,ICE
Audi,R8,2022,5.2,562.0,406.0,3.2,142700.0,ICE
McLaren,720S,2021,4.0,710.0,568.0,2.7,298000.0,ICE
BMW,M8,2022,4.4,617.0,553.0,3.1,130000.0,ICE
Mercedes-Benz,AMG GT,2021,4.0,523.0,494.0,3.8,118500.0,ICE
Chevrolet,Corvette,2021,6.2,490.0,465.0,2.8,59900.0,ICE
Ford,Mustang Shelby GT500,2022,5.2,760.0,625.0,3.5,81000.0,ICE
Nissan,GT-R Nismo,2021,3.8,600.0,481.0,2.5,212000.0,ICE
Aston Martin,DB11,2021,5.2,630.0,516.0,3.5,201495.0,ICE
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000.0,ICE
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,61000.0,ICE
Jaguar,F-Type,2022,3.0,296.0,295.0,5.4,70100.0,ICE
Koenigsegg,Jesko,2021,5.0,1280.0,1015.0,2.5,2800000.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104450.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,150000.0,ICE
Porsche,Boxster,2021,2.0,300.0,280.0,4.7,62000.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,78000.0,ICE
Ariel,Atom,2021,2.0,320.0,243.0,2.8,75000.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,225000.0,ICE
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000.0,ICE
Mercedes-AMG,SLS AMG,2021,6.2,622.0,468.0,3.5,248000.0,ICE
Pagani,Huayra,2021,6.0,720.0,737.0,2.8,2800000.0,ICE
Polestar,1,2021,2.0,600.0,738.0,4.1,155000.0,ICE
Rimac,Nevera,2022,0.0,1914.0,1696.0,1.85,2400000.0,Electric
Porsche,Cayman GT4,2022,4.0,414.0,309.0,3.8,100200.0,ICE
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517770.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS7,2022,4.0,591.0,590.0,3.5,117000.0,ICE
McLaren,Artura,2021,3.0,671.0,531.0,3.0,225000.0,ICE
BMW,M4,2022,3.0,503.0,479.0,3.8,72800.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.2,222000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695.0,ICE
Ford,GT,2022,3.5,660.0,550.0,3.0,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.5,45690.0,ICE
Porsche,Taycan 4S,2022,0.0,562.0,479.0,3.8,104000.0,Electric
Lamborghini,Urus,2021,4.0,641.0,626.0,3.5,218000.0,ICE
Ferrari,Roma,2021,3.9,611.0,561.0,3.3,222000.0,ICE
Audi,RS3,2022,2.5,394.0,369.0,3.9,57000.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000.0,ICE
BMW,i8,2020,0.0,369.0,420.0,4.2,148500.0,Electric
Mercedes-Benz,CLS63 AMG,2019,4.0,603.0,627.0,3.4,132000.0,ICE
Porsche,Cayman,2021,2.0,300.0,280.0,5.1,58900.0,ICE
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,518000.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS3,2022,2.5,394.0,369.0,3.9,56200.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,2.8,192500.0,ICE
BMW,M4,2022,3.0,503.0,479.0,3.8,71800.0,ICE
Mercedes-Benz,AMG C63,2021,4.0,503.0,516.0,3.8,68000.0,ICE
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,42500.0,ICE
Ford,Mustang GT,2022,5.0,460.0,420.0,4.3,39000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,46100.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,142100.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000.0,ICE
Porsche,Panamera,2021,2.9,325.0,331.0,5.1,87200.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218000.0,ICE
Ferrari,Roma,2021,3.9,612.0,560.0,3.4,222000.0,ICE
Audi,S5,2022,3.0,349.0,369.0,4.4,52500.0,ICE
McLaren,600LT,2021,3.8,592.0,457.0,2.8,241000.0,ICE
BMW,M5,2022,4.4,600.0,553.0,3.2,103500.0,ICE
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,146000.0,ICE
Audi,RS5,2021,2.9,444.0,443.0,3.6,75400.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.0,58900.0,ICE
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42900.0,ICE
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.4,78595.0,ICE
Ford,GT,2021,3.5,660.0,550.0,3.0,500000.0,ICE
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,62750.0,ICE
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,417826.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150980.0,ICE
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000.0,ICE
Mercedes-Benz,C63 AMG,2021,4.0,503.0,516.0,3.8,70100.0,ICE
Nissan,370Z,2021,3.7,332.0,270.0,5.0,30090.0,ICE
Porsche,Panamera,2022,2.9,325.0,331.0,5.3,88700.0,ICE
Audi,TT RS,2021,2.5,394.0,354.0,3.6,67600.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.1,72800.0,ICE
Chevrolet,Corvette Stingray,2021,6.2,490.0,465.0,2.8,59900.0,ICE
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.8,274280.0,ICE
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.3,52915.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,218009.0,ICE
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.5,61000.0,ICE
Acura,NSX,2022,3.5,573.0,476.0,2.9,159495.0,ICE
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,142086.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,219800.0,ICE
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000.0,ICE
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.4,74290.0,ICE
Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,71900.0,ICE
Koenigsegg,Jesko,2022,5.0,1600.0,1106.0,2.5,3000000.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000.0,ICE
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,134300.0,ICE
Mazda,MX-5 Miata,2021,2.0,181.0,151.0,6.5,26830.0,ICE
McLaren,GT,2022,4.0,620.0,465.0,3.1,213195.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.7,221580.0,ICE
Pagani,Huayra,2022,6.0,764.0,738.0,2.8,2800000.0,ICE
Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,100550.0,ICE
Rimac,Nevera,2022,0.0,1914.0,1696.0,1.95,2400000.0,Electric
Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.4,330000.0,ICE
Tesla,Roadster,2022,0.0,1000.0,7376.0,1.9,200000.0,Electric
Toyota,Supra,2022,3.0,382.0,368.0,3.9,43090.0,ICE
W Motors,Fenyr Supersport,2022,3.8,800.0,723.0,2.7,1700000.0,ICE
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.7,60500.0,ICE
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,522000.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,TT RS,2022,2.5,394.0,354.0,3.4,67000.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,212500.0,ICE
BMW,M4,2022,3.0,503.0,479.0,3.8,75000.0,ICE
Mercedes-Benz,SL 63 AMG,2021,4.0,603.0,664.0,3.5,155000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.8,500000.0,ICE
Nissan,370Z,2021,3.7,332.0,270.0,4.7,31015.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,304995.0,ICE
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.2,192500.0,ICE
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,642.0,3.2,190000.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222000.0,ICE
Ferrari,Roma,2021,3.9,611.0,561.0,3.3,222000.0,ICE
Audi,RS7,2021,4.0,591.0,590.0,3.5,115000.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.2,59000.0,ICE
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102100.0,ICE
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,417826.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.2,304995.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,220300.0,ICE
Audi,RS7,2022,4.0,591.0,590.0,3.5,114000.0,ICE
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.7,239100.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.0,58900.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62500.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65290.0,ICE
Ferrari,Portofino,2021,3.9,592.0,560.0,3.5,219750.0,ICE
Porsche,Panamera Turbo S,2022,4.0,620.0,604.0,2.9,187700.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222004.0,ICE
Mercedes-Benz,AMG C63,2021,4.0,469.0,479.0,3.8,71350.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,146000.0,ICE
Audi,S5,2022,3.0,349.0,369.0,4.4,52500.0,ICE
Porsche,Cayman,2022,2.5,365.0,309.0,4.5,68900.0,ICE
Lamborghini,Aventador,2021,6.5,730.0,507.0,2.8,517770.0,ICE
Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.9,276550.0,ICE
Audi,TT RS,2021,2.5,394.0,354.0,3.6,67600.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500.0,ICE
BMW,Z4 M40i,2022,3.0,382.0,369.0,3.9,63700.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.7,221580.0,ICE
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.1,44000.0,ICE
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,51720.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.9,45790.0,ICE
Porsche,Panamera,2022,2.9,325.0,331.0,5.4,88550.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.5,218009.0,ICE
Ferrari,Roma,2021,3.9,612.0,561.0,3.3,222620.0,ICE
Audi,RS 3,2022,2.5,401.0,369.0,3.6,56200.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.2,200000.0,ICE
BMW,M2 CS,2022,3.0,444.0,406.0,3.8,84595.0,ICE
Mercedes-Benz,AMG C63,2021,4.0,503.0,516.0,3.8,77500.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62500.0,ICE
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500.0,ICE
Aston Martin,DB11,2022,4.0,503.0,513.0,3.7,204100.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.4,220300.0,ICE
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000.0,ICE
Dodge,Viper,2017,8.4,645.0,600.0,3.3,120000.0,ICE
